dataset,task_type,dataset_samples_count,mode_algorithm,eval_primary_value
polish_companies_bankruptcy,binary,5910,combined_catboost,0.020720620842572
polish_companies_bankruptcy,binary,5910,combined_lightgbm,0.0150443458980044
qsar-biodeg,binary,1054,baseline_tabpfn,0.041851106639839
qsar-biodeg,binary,1054,combined_catboost,0.0531187122736417
qsar-biodeg,binary,1054,combined_lightgbm,0.0523138832997988
qsar-tid-11,regression,5742,baseline_tabpfn,0.6735581320258458
qsar-tid-11,regression,5742,combined_catboost,0.6711319962254191
qsar-tid-11,regression,5742,combined_lightgbm,0.6739301916334305
qsar_fish_toxicity,regression,907,baseline_tabpfn,0.8427904535011612
qsar_fish_toxicity,regression,907,combined_catboost,0.8967370162690773
qsar_fish_toxicity,regression,907,combined_lightgbm,0.8926158370005411
sdss17,multiclass,78053,baseline_tabpfn,0.0635434792594842
sdss17,multiclass,78053,combined_catboost,0.0644853332267292
sdss17,multiclass,78053,combined_lightgbm,0.0624072421855011
seismic-bumps,binary,2584,baseline_tabpfn,0.2241505297771281
seismic-bumps,binary,2584,combined_catboost,0.2394349043965412
seismic-bumps,binary,2584,combined_lightgbm,0.225216173425892
splice,multiclass,3190,baseline_tabpfn,0.1045865260460338
splice,multiclass,3190,combined_catboost,0.1067107279202262
splice,multiclass,3190,combined_lightgbm,0.1017659203746744
students_dropout_and_academic_success,multiclass,4424,baseline_tabpfn,0.5324069501376939
students_dropout_and_academic_success,multiclass,4424,combined_catboost,0.5306149617954237
students_dropout_and_academic_success,multiclass,4424,combined_lightgbm,0.5275395561950518
superconductivity,regression,21263,baseline_tabpfn,8.967884575443701
superconductivity,regression,21263,combined_catboost,8.734822635214133
superconductivity,regression,21263,combined_lightgbm,8.929109126394765
taiwanese_bankruptcy_prediction,binary,6819,baseline_tabpfn,0.0431818181818181
taiwanese_bankruptcy_prediction,binary,6819,combined_catboost,0.0434917355371899
taiwanese_bankruptcy_prediction,binary,6819,combined_lightgbm,0.0446280991735537
website_phishing,multiclass,1353,baseline_tabpfn,0.2672696354377883
website_phishing,multiclass,1353,combined_catboost,0.3077645358287081
website_phishing,multiclass,1353,combined_lightgbm,0.2942523890260506
wine_quality,regression,6497,baseline_tabpfn,0.5665150098489219
wine_quality,regression,6497,combined_catboost,0.567375187040876
wine_quality,regression,6497,combined_lightgbm,0.5665445830199877
