dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,primary_metric,tabpfn_primary_score,eval_primary_value,eval_primary_delta,eval_primary_delta_pct,secondary_metric,tabpfn_secondary_score,eval_secondary_value,eval_secondary_delta,eval_secondary_delta_pct,optimal_trees,tuning_completed,tuning_best_idx,tuning_val_score_0,tuning_val_score_best,tuning_overall_gain,tuning_gain_pct,eval_overfitting_ratio,feat_share_embedded_pct,feat_share_raw_pct,feat_active_embedded_pct,feat_active_raw_pct,feat_cr5_pct,feat_cr10_pct,time_train_secs,time_infer_secs,time_train_secs_per_1K,time_infer_secs_per_1K,time_tuning_search_secs,time_total_secs
mic,multiclass,lightgbm,combined,1699,111,30,141,Log_Loss,0.45523432170328487,0.44994391268131806,-0.005290409021966813,-1.1621287696789753,Accuracy,0.888235294117647,0.888235294117647,0.0,0.0,339,3,2,0.4967387764071368,0.46346844440650115,0.03327033200063567,6.697752134688728,0.9708188725933606,59.35568399354847,40.64431600645156,100.0,72.07207207207207,39.24042439928214,49.096919180034455,2.9573919773101807,0.046898841857910156,2.1761530370200006,0.137937770170324,81.41415214538574,89.19978594779968
mic,multiclass,lightgbm,embed-only,1699,111,30,30,Log_Loss,0.45523432170328487,0.4767543678195886,0.021520046116303704,4.727245967699719,Accuracy,0.888235294117647,0.8852941176470588,-0.002941176470588225,-0.33112582781456834,290,3,2,0.508665642854301,0.48872699935833197,0.019938643495969077,3.919793635773465,0.9755024143244333,100.0,0.0,100.0,0.0,51.04295837893827,64.22827210988567,0.8907058238983154,0.005722999572753906,0.6554126739501953,0.016832351684570312,47.12829899787903,52.79590654373169
mic,multiclass,lightgbm,raw-only,1699,111,30,111,Log_Loss,0.45523432170328487,0.44172337099328113,-0.013510950710003744,-2.9679112636876237,Accuracy,0.888235294117647,0.8911764705882353,0.002941176470588336,0.33112582781458083,433,3,2,0.5052441853452987,0.45678142806173616,0.04846275728356253,9.591947555109746,0.9670344367275373,0.0,100.00000000000001,0.0,88.28828828828829,36.829090825462906,54.95441441526503,1.8005836009979248,0.04146432876586914,1.3249327453995032,0.12195390813490922,46.019514322280884,52.81404733657837
mic,multiclass,xgboost,combined,1699,111,30,141,Log_Loss,0.45523432170328487,0.44845712184906006,-0.0067771998542248135,-1.4887277894310647,Accuracy,0.888235294117647,0.888235294117647,0.0,0.0,109,3,2,0.48362111593309753,0.45321415044230595,0.030406965490791582,6.287352741437778,0.9895037950853843,56.92932865419329,43.0706713458067,100.0,83.78378378378379,41.490172520659186,51.397039441214986,1.316129207611084,0.0028030872344970703,0.9684541630692303,0.00824437421910903,123.5077588558197,129.81203246116638
mic,multiclass,xgboost,embed-only,1699,111,30,30,Log_Loss,0.45523432170328487,0.4655742347240448,0.010339913020759928,2.2713386332718852,Accuracy,0.888235294117647,0.8852941176470588,-0.002941176470588225,-0.33112582781456834,100,3,2,0.501191163440611,0.4719766355074101,0.029214527933200896,5.829018958085181,0.9864349200750536,99.99999999999997,0.0,100.0,0.0,56.28757671354629,69.024047649126,0.8099894523620605,0.001676797866821289,0.5960187287432381,0.00493175843182732,83.29210090637207,88.6015522480011
mic,multiclass,xgboost,raw-only,1699,111,30,111,Log_Loss,0.45523432170328487,0.44472208619117737,-0.010512235512107504,-2.3091922139735384,Accuracy,0.888235294117647,0.888235294117647,0.0,0.0,178,3,2,0.4801403465396811,0.4472591575007444,0.032881189038936665,6.8482453674030515,0.9943275139993912,0.0,99.99999999999997,0.0,87.38738738738738,38.3430461769639,56.01405169093533,1.1276402473449707,0.005789041519165039,0.8297573563980652,0.017026592703426584,75.20940065383911,81.15879797935486
wine_quality,regression,catboost,combined,6497,12,25,37,RMSE,0.5665150098489219,0.5686558393111463,0.0021408294622243806,0.3778945703124965,R2_Score,0.5709894261223469,0.5677408843371081,-0.003248541785238812,-0.5689320391272431,949,3,1,0.6888244192692483,0.5842789792686643,0.10454544000058397,15.177371341087598,0.9732608214365792,90.89384061534989,9.106159384650084,100.0,100.0,76.06847396173801,84.88698700448627,2.3033394813537598,0.007907390594482422,0.4432055957963748,0.006082608149601863,27.93268060684204,34.7239727973938
wine_quality,regression,catboost,embed-only,6497,12,25,25,RMSE,0.5665150098489219,0.567955685241866,0.001440675392944124,0.2543048935858422,R2_Score,0.5709894261223469,0.5688046619022268,-0.00218476422012015,-0.3826277896172488,854,3,1,0.6844832853004008,0.5838568514283655,0.10062643387203529,14.701079782813562,0.9727653000087292,99.99999999999997,0.0,100.0,0.0,78.45984908608027,89.43741167346889,1.7468416690826416,0.012686014175415039,0.33612500848232474,0.009758472442626953,19.61788249015808,25.816375017166138
wine_quality,regression,catboost,raw-only,6497,12,25,12,RMSE,0.5665150098489219,0.6283334901355597,0.061818480286637834,10.91206397216617,R2_Score,0.5709894261223469,0.4722532459664015,-0.09873618015594543,-17.292120596080714,1000,3,2,0.7870678924244308,0.6507323709833329,0.13633552144109784,17.321951861247843,0.9655789663361516,0.0,99.99999999999997,0.0,100.0,59.1071664905206,93.72673794151034,1.2309761047363281,0.004583120346069336,0.2368628256179196,0.0035254771892841044,40.928425312042236,46.884185552597046
wine_quality,regression,lightgbm,combined,6497,12,25,37,RMSE,0.5665150098489219,0.5693893397459567,0.002874329897034844,0.5073704751091008,R2_Score,0.5709894261223469,0.566625036352369,-0.004364389769977883,-0.7643556203162889,523,3,2,0.5958767401753824,0.5884545189670204,0.007422221208362001,1.2455967330051252,0.9676012697556798,90.03991732258078,9.960082677419225,100.0,91.66666666666666,81.43884611817832,93.39353906917995,0.2832753658294678,0.006609439849853516,0.05450747851250101,0.005084184499887319,12.711672306060791,17.93764042854309
wine_quality,regression,lightgbm,embed-only,6497,12,25,25,RMSE,0.5665150098489219,0.5677087983092536,0.0011937884603316906,0.21072494807331757,R2_Score,0.5709894261223469,0.5691794564826678,-0.0018099696396791654,-0.3169882938062219,596,3,2,0.5943419323099393,0.5874939163497647,0.006848015960174592,1.1522013823859676,0.9663228546034305,100.00000000000001,0.0,100.0,0.0,87.08975753275122,95.3114243006222,0.3180501461029053,0.005673646926879883,0.061198796633231724,0.004364343789907602,13.577738523483276,18.66488003730774
wine_quality,regression,lightgbm,raw-only,6497,12,25,12,RMSE,0.5665150098489219,0.6063183330535797,0.03980332320465785,7.025996224755385,R2_Score,0.5709894261223469,0.5085870981513412,-0.062402327971005755,-10.928806229352958,532,3,0,0.6333112552032534,0.6333112552032534,0.0,0.0,0.9573781107979668,0.0,100.0,0.0,100.0,62.615786530604986,94.93866327252543,0.4756429195404053,0.008844375610351562,0.09152259371568314,0.006803365854116586,21.616520881652832,27.100510358810425
wine_quality,regression,xgboost,combined,6497,12,25,37,RMSE,0.5665150098489219,0.5671616942891469,0.0006466844402249761,0.1141513338538786,R2_Score,0.5709894261223469,0.5700094245140483,-0.0009800016082985863,-0.17163218151934737,79,3,2,0.6061802600865427,0.591506288592496,0.0146739714940467,2.420727374387239,0.9588430507454491,95.93677237180087,4.063227628199137,100.0,91.66666666666666,86.61069544088703,91.94658233171936,0.1372067928314209,0.000985860824584961,0.026401153132849894,0.0007583544804499699,57.99923062324524,62.70375394821167
wine_quality,regression,xgboost,embed-only,6497,12,25,25,RMSE,0.5665150098489219,0.5659404990866447,-0.0005745107622772139,-0.10141139286502299,R2_Score,0.5709894261223469,0.5718591161132787,0.0008696899909317324,0.15231280145376674,75,3,2,0.6050807051258037,0.5883955147740894,0.01668519035171434,2.757514858822888,0.9618368680188425,100.00000000000001,0.0,100.0,0.0,88.01699601231968,94.04433346955271,0.11161637306213379,0.0009570121765136719,0.021477077749111756,0.0007361632127028245,58.326507568359375,62.97751307487488
wine_quality,regression,xgboost,raw-only,6497,12,25,12,RMSE,0.5665150098489219,0.5881288007513703,0.021613790902448415,3.815219460506859,R2_Score,0.5709894261223469,0.5376295728367766,-0.03335985328557034,-5.842464283817099,1000,3,1,0.6437233137197229,0.6027111948710145,0.04101211884870837,6.371078687786199,0.9758053372100297,0.0,100.00000000000001,0.0,100.0,57.60521212902056,93.6345619569701,11.588244199752808,0.029674291610717773,2.2297949200986737,0.022826378162090596,105.26051568984985,121.45058035850525
