dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,secondary_metric,eval_secondary_value
blood-transfusion-service-center,binary,catboost,embed-only,748,4,22.0,22.0,100.0,0.0,1-AUROC,0.231359649122807,Accuracy,0.7733333333333333
blood-transfusion-service-center,binary,lightgbm,embed-only,748,4,22.0,22.0,99.99999999999996,0.0,1-AUROC,0.2831384015594542,Accuracy,0.76
blood-transfusion-service-center,binary,xgboost,embed-only,748,4,22.0,22.0,100.0,0.0,1-AUROC,0.2603557504873294,Accuracy,0.78
churn,binary,catboost,raw-only,5000,19,20.0,19.0,0.0,100.0,1-AUROC,0.086320065390236,Accuracy,0.96
churn,binary,lightgbm,raw-only,5000,19,20.0,19.0,0.0,100.00000000000004,1-AUROC,0.0880208720349408,Accuracy,0.949
churn,binary,xgboost,raw-only,5000,19,20.0,19.0,0.0,100.0,1-AUROC,0.0998769804902617,Accuracy,0.953
churn,binary,catboost,combined,5000,19,20.0,39.0,79.38001346898979,20.619986531010216,1-AUROC,0.0702119403231532,Accuracy,0.972
churn,binary,lightgbm,combined,5000,19,20.0,39.0,84.42989193076033,15.570108069239652,1-AUROC,0.0760326620926526,Accuracy,0.973
churn,binary,xgboost,combined,5000,19,20.0,39.0,90.51116623360164,9.488833766398368,1-AUROC,0.0817130260322491,Accuracy,0.972
churn,binary,catboost,embed-only,5000,19,20.0,20.0,100.0,0.0,1-AUROC,0.0746951345371081,Accuracy,0.972
churn,binary,lightgbm,embed-only,5000,19,20.0,20.0,100.00000000000004,0.0,1-AUROC,0.0781050041694532,Accuracy,0.971
churn,binary,xgboost,embed-only,5000,19,20.0,20.0,100.0,0.0,1-AUROC,0.0808956480816387,Accuracy,0.972
coil2000_insurance_policies,binary,catboost,raw-only,9822,85,57.0,85.0,0.0,100.0,1-AUROC,0.2556610056610058,Accuracy,0.9414758269720102
coil2000_insurance_policies,binary,lightgbm,raw-only,9822,85,57.0,85.0,0.0,99.99999999999996,1-AUROC,0.2594673844673845,Accuracy,0.9399491094147584
coil2000_insurance_policies,binary,xgboost,raw-only,9822,85,57.0,85.0,0.0,100.0,1-AUROC,0.2614376364376365,Accuracy,0.9404580152671757
coil2000_insurance_policies,binary,catboost,combined,9822,85,57.0,142.0,59.944406007598445,40.0555939924016,1-AUROC,0.2348808598808598,Accuracy,0.9399491094147584
coil2000_insurance_policies,binary,lightgbm,combined,9822,85,57.0,142.0,53.03413962566258,46.96586037433747,1-AUROC,0.243067118067118,Accuracy,0.9404580152671757
coil2000_insurance_policies,binary,xgboost,combined,9822,85,57.0,142.0,71.29628623927796,28.703713760722074,1-AUROC,0.2404401154401154,Accuracy,0.9399491094147584
coil2000_insurance_policies,binary,catboost,embed-only,9822,85,57.0,57.0,100.0,0.0,1-AUROC,0.2486032486032486,Accuracy,0.9399491094147584
coil2000_insurance_policies,binary,lightgbm,embed-only,9822,85,57.0,57.0,100.0,0.0,1-AUROC,0.2536583786583787,Accuracy,0.9404580152671757
coil2000_insurance_policies,binary,xgboost,embed-only,9822,85,57.0,57.0,99.99999999999996,0.0,1-AUROC,0.2492137492137491,Accuracy,0.9399491094147584
concrete_compressive_strength,regression,catboost,raw-only,1030,8,78.0,8.0,0.0,100.00000000000004,RMSE,3.526001293053053,R2_Score,0.9550278612322604
concrete_compressive_strength,regression,lightgbm,raw-only,1030,8,78.0,8.0,0.0,100.0,RMSE,3.518961689542497,R2_Score,0.9552072542444956
concrete_compressive_strength,regression,xgboost,raw-only,1030,8,78.0,8.0,0.0,100.0,RMSE,3.4280594621391782,R2_Score,0.957491546954566
concrete_compressive_strength,regression,catboost,combined,1030,8,78.0,86.0,97.12970473380192,2.87029526619808,RMSE,3.456598720293972,R2_Score,0.9567808185536548
concrete_compressive_strength,regression,lightgbm,combined,1030,8,78.0,86.0,75.7132995529925,24.28670044700753,RMSE,3.654003621627453,R2_Score,0.9517034004092844
concrete_compressive_strength,regression,xgboost,combined,1030,8,78.0,86.0,91.27355251736562,8.726447482634397,RMSE,3.79127827597569,R2_Score,0.9480063947756084
concrete_compressive_strength,regression,catboost,embed-only,1030,8,78.0,78.0,100.00000000000004,0.0,RMSE,3.49378250224048,R2_Score,0.9558459710059488
concrete_compressive_strength,regression,lightgbm,embed-only,1030,8,78.0,78.0,100.0,0.0,RMSE,3.684104868182526,R2_Score,0.9509043996042584
concrete_compressive_strength,regression,xgboost,embed-only,1030,8,78.0,78.0,100.00000000000006,0.0,RMSE,3.59747840363844,R2_Score,0.9531860810883954
credit-g,binary,catboost,raw-only,1000,20,42.0,20.0,0.0,100.0,1-AUROC,0.2459523809523809,Accuracy,0.75
credit-g,binary,lightgbm,raw-only,1000,20,42.0,20.0,0.0,100.0,1-AUROC,0.2482142857142857,Accuracy,0.755
credit-g,binary,xgboost,raw-only,1000,20,42.0,20.0,0.0,100.0,1-AUROC,0.2414285714285715,Accuracy,0.765
credit-g,binary,catboost,combined,1000,20,42.0,62.0,72.49523631291706,27.504763687082946,1-AUROC,0.2491666666666666,Accuracy,0.745
credit-g,binary,lightgbm,combined,1000,20,42.0,62.0,61.64878293335149,38.35121706664852,1-AUROC,0.2377380952380952,Accuracy,0.75
credit-g,binary,xgboost,combined,1000,20,42.0,62.0,76.39343525381479,23.606564746185207,1-AUROC,0.2561904761904761,Accuracy,0.76
credit-g,binary,catboost,embed-only,1000,20,42.0,42.0,100.0,0.0,1-AUROC,0.2899999999999999,Accuracy,0.725
credit-g,binary,lightgbm,embed-only,1000,20,42.0,42.0,100.0,0.0,1-AUROC,0.2979761904761904,Accuracy,0.715
credit-g,binary,xgboost,embed-only,1000,20,42.0,42.0,100.0,0.0,1-AUROC,0.2807142857142856,Accuracy,0.725
credit_card_clients_default,binary,catboost,raw-only,30000,23,23.0,23.0,0.0,100.0,1-AUROC,0.2195792468752575,Accuracy,0.8213333333333334
credit_card_clients_default,binary,lightgbm,raw-only,30000,23,23.0,23.0,0.0,100.00000000000004,1-AUROC,0.2186814987282036,Accuracy,0.8225
credit_card_clients_default,binary,xgboost,raw-only,30000,23,23.0,23.0,0.0,100.0,1-AUROC,0.217183128527314,Accuracy,0.8223333333333334
credit_card_clients_default,binary,catboost,combined,30000,23,23.0,46.0,32.10697528756694,67.89302471243305,1-AUROC,0.217349954548174,Accuracy,0.8221666666666667
credit_card_clients_default,binary,lightgbm,combined,30000,23,23.0,46.0,46.23832269810335,53.761677301896654,1-AUROC,0.2164315648054988,Accuracy,0.8198333333333333
credit_card_clients_default,binary,xgboost,combined,30000,23,23.0,46.0,35.69359085563528,64.30640914436471,1-AUROC,0.2179282417504976,Accuracy,0.8205
credit_card_clients_default,binary,catboost,embed-only,30000,23,23.0,23.0,100.00000000000004,0.0,1-AUROC,0.2235917795490488,Accuracy,0.8206666666666667
credit_card_clients_default,binary,lightgbm,embed-only,30000,23,23.0,23.0,100.0,0.0,1-AUROC,0.2204528056524429,Accuracy,0.8191666666666667
credit_card_clients_default,binary,xgboost,embed-only,30000,23,23.0,23.0,99.99999999999996,0.0,1-AUROC,0.2230825126820834,Accuracy,0.8193333333333334
customer_satisfaction_in_airline,binary,catboost,raw-only,129880,21,33.0,21.0,0.0,100.0,1-AUROC,0.0054595079584266,Accuracy,0.9605789959963044
customer_satisfaction_in_airline,binary,lightgbm,raw-only,129880,21,33.0,21.0,0.0,100.0,1-AUROC,0.0053977234033417,Accuracy,0.9593855866954112
customer_satisfaction_in_airline,binary,xgboost,raw-only,129880,21,33.0,21.0,0.0,100.0,1-AUROC,0.0076367899372322,Accuracy,0.9503772713273791
customer_satisfaction_in_airline,binary,catboost,combined,129880,21,33.0,54.0,56.12370171542909,43.8762982845709,1-AUROC,0.0053522927037703,Accuracy,0.9615414228518632
customer_satisfaction_in_airline,binary,lightgbm,combined,129880,21,33.0,54.0,54.02612233444881,45.97387766555119,1-AUROC,0.0051329452708176,Accuracy,0.9614259316291962
customer_satisfaction_in_airline,binary,xgboost,combined,129880,21,33.0,54.0,51.95876206343297,48.04123793656702,1-AUROC,0.0052791429967189,Accuracy,0.9616569140745304
customer_satisfaction_in_airline,binary,catboost,embed-only,129880,21,33.0,33.0,100.00000000000004,0.0,1-AUROC,0.0062553138440957,Accuracy,0.9590006159531876
customer_satisfaction_in_airline,binary,lightgbm,embed-only,129880,21,33.0,33.0,100.0,0.0,1-AUROC,0.0061759910650285,Accuracy,0.9580381890976286
customer_satisfaction_in_airline,binary,xgboost,embed-only,129880,21,33.0,33.0,99.99999999999996,0.0,1-AUROC,0.0061897578530554,Accuracy,0.959270095472744
diabetes,binary,catboost,raw-only,768,8,32.0,8.0,0.0,100.0,1-AUROC,0.1387037037037037,Accuracy,0.7727272727272727
diabetes,binary,lightgbm,raw-only,768,8,32.0,8.0,0.0,100.0,1-AUROC,0.1338888888888888,Accuracy,0.7727272727272727
diabetes,binary,xgboost,raw-only,768,8,32.0,8.0,0.0,100.0,1-AUROC,0.1284259259259259,Accuracy,0.7077922077922078
diabetes,binary,catboost,combined,768,8,32.0,40.0,64.04518526930002,35.95481473069997,1-AUROC,0.1559259259259259,Accuracy,0.7792207792207793
diabetes,binary,lightgbm,combined,768,8,32.0,40.0,31.084136760476586,68.9158632395234,1-AUROC,0.1338888888888889,Accuracy,0.7662337662337663
diabetes,binary,xgboost,combined,768,8,32.0,40.0,45.05820975149479,54.94179024850519,1-AUROC,0.1466666666666666,Accuracy,0.7662337662337663
diabetes,binary,catboost,embed-only,768,8,32.0,32.0,100.00000000000004,0.0,1-AUROC,0.1666666666666667,Accuracy,0.7402597402597403
diabetes,binary,lightgbm,embed-only,768,8,32.0,32.0,100.00000000000004,0.0,1-AUROC,0.1716666666666666,Accuracy,0.7142857142857143
diabetes,binary,xgboost,embed-only,768,8,32.0,32.0,100.0,0.0,1-AUROC,0.1755555555555555,Accuracy,0.7532467532467533
diabetes130us,binary,catboost,raw-only,71518,47,38.0,47.0,0.0,100.00000000000004,1-AUROC,0.3217059174708675,Accuracy,0.9128215883668904
diabetes130us,binary,lightgbm,raw-only,71518,47,38.0,47.0,0.0,99.99999999999996,1-AUROC,0.3372753507060395,Accuracy,0.9119826621923938
diabetes130us,binary,xgboost,raw-only,71518,47,38.0,47.0,0.0,100.0,1-AUROC,0.3776275743736702,Accuracy,0.9119826621923938
diabetes130us,binary,catboost,combined,71518,47,38.0,85.0,57.22587174360963,42.774128256390384,1-AUROC,0.3221641589524378,Accuracy,0.913101230425056
diabetes130us,binary,lightgbm,combined,71518,47,38.0,85.0,27.8960098537368,72.1039901462632,1-AUROC,0.3296331419528722,Accuracy,0.9119826621923938
diabetes130us,binary,xgboost,combined,71518,47,38.0,85.0,46.6342414747523,53.36575852524769,1-AUROC,0.3655630247956377,Accuracy,0.9119826621923938
diabetes130us,binary,catboost,embed-only,71518,47,38.0,38.0,100.00000000000004,0.0,1-AUROC,0.3440745680544314,Accuracy,0.9120525727069352
diabetes130us,binary,lightgbm,embed-only,71518,47,38.0,38.0,100.00000000000004,0.0,1-AUROC,0.3385737218664176,Accuracy,0.9119826621923938
diabetes130us,binary,xgboost,embed-only,71518,47,38.0,38.0,100.0,0.0,1-AUROC,0.3373394351013827,Accuracy,0.9119826621923938
diamonds,regression,catboost,raw-only,53940,9,29.0,9.0,0.0,100.0,RMSE,502.0388604947916,R2_Score,0.983803202363376
diamonds,regression,lightgbm,raw-only,53940,9,29.0,9.0,0.0,100.0,RMSE,502.7025763342164,R2_Score,0.9837603484012548
diamonds,regression,xgboost,raw-only,53940,9,29.0,9.0,0.0,100.0,RMSE,512.9226956540911,R2_Score,0.9830933205760378
diamonds,regression,catboost,combined,53940,9,29.0,38.0,35.278591760628565,64.72140823937143,RMSE,472.8457807246591,R2_Score,0.9856320925439488
diamonds,regression,lightgbm,combined,53940,9,29.0,38.0,36.051778695225785,63.94822130477422,RMSE,473.704318780347,R2_Score,0.9855798700459638
diamonds,regression,xgboost,combined,53940,9,29.0,38.0,37.07632281260639,62.92367718739361,RMSE,472.1960087511742,R2_Score,0.9856715533974296
diamonds,regression,catboost,embed-only,53940,9,29.0,29.0,99.99999999999996,0.0,RMSE,474.32863571014,R2_Score,0.9855418350800078
diamonds,regression,lightgbm,embed-only,53940,9,29.0,29.0,100.00000000000004,0.0,RMSE,480.4581227873004,R2_Score,0.9851657509504772
diamonds,regression,xgboost,embed-only,53940,9,29.0,29.0,100.0,0.0,RMSE,473.1012641703298,R2_Score,0.9856165620926728
e-commereshippingdata,binary,catboost,raw-only,10999,10,11.0,10.0,0.0,100.0,1-AUROC,0.2612063391752409,Accuracy,0.6709090909090909
e-commereshippingdata,binary,lightgbm,raw-only,10999,10,11.0,10.0,0.0,100.0,1-AUROC,0.2532158254417064,Accuracy,0.6777272727272727
e-commereshippingdata,binary,xgboost,raw-only,10999,10,11.0,10.0,0.0,100.0,1-AUROC,0.2582654935340034,Accuracy,0.5968181818181818
e-commereshippingdata,binary,catboost,combined,10999,10,11.0,21.0,59.75185767297121,40.2481423270288,1-AUROC,0.2600162626617357,Accuracy,0.6795454545454546
e-commereshippingdata,binary,lightgbm,combined,10999,10,11.0,21.0,55.605889117401006,44.394110882599016,1-AUROC,0.2467219230812163,Accuracy,0.6831818181818182
e-commereshippingdata,binary,xgboost,combined,10999,10,11.0,21.0,66.30566194452163,33.69433805547836,1-AUROC,0.2559110997388872,Accuracy,0.6763636363636364
e-commereshippingdata,binary,catboost,embed-only,10999,10,11.0,11.0,100.0,0.0,1-AUROC,0.2634542614785284,Accuracy,0.6622727272727272
e-commereshippingdata,binary,lightgbm,embed-only,10999,10,11.0,11.0,100.0,0.0,1-AUROC,0.2514277054277277,Accuracy,0.5968181818181818
e-commereshippingdata,binary,xgboost,embed-only,10999,10,11.0,11.0,100.0,0.0,1-AUROC,0.2530260657667535,Accuracy,0.5968181818181818
fitness_club,binary,catboost,raw-only,1500,6,15.0,6.0,0.0,100.00000000000004,1-AUROC,0.1975393028024608,Accuracy,0.7566666666666667
fitness_club,binary,lightgbm,raw-only,1500,6,15.0,6.0,0.0,100.0,1-AUROC,0.1939376413060622,Accuracy,0.7533333333333333
fitness_club,binary,xgboost,raw-only,1500,6,15.0,6.0,0.0,100.0,1-AUROC,0.1988274883011724,Accuracy,0.6966666666666667
fitness_club,binary,catboost,combined,1500,6,15.0,21.0,62.49543296059744,37.50456703940257,1-AUROC,0.2010620957989378,Accuracy,0.7533333333333333
fitness_club,binary,lightgbm,combined,1500,6,15.0,21.0,44.5167896980476,55.48321030195241,1-AUROC,0.2000630947999369,Accuracy,0.7566666666666667
fitness_club,binary,xgboost,combined,1500,6,15.0,21.0,39.00557580343158,60.99442419656842,1-AUROC,0.2098427887901572,Accuracy,0.6966666666666667
fitness_club,binary,catboost,embed-only,1500,6,15.0,15.0,100.0,0.0,1-AUROC,0.2010095167989904,Accuracy,0.77
fitness_club,binary,lightgbm,embed-only,1500,6,15.0,15.0,100.0,0.0,1-AUROC,0.207318996792681,Accuracy,0.7533333333333333
fitness_club,binary,xgboost,embed-only,1500,6,15.0,15.0,100.0,0.0,1-AUROC,0.2066354697933645,Accuracy,0.7733333333333333
food_delivery_time,regression,catboost,raw-only,45451,9,34.0,9.0,0.0,100.0,RMSE,7.36894751478277,R2_Score,0.3714432962442472
food_delivery_time,regression,lightgbm,raw-only,45451,9,34.0,9.0,0.0,100.0,RMSE,7.535781958906492,R2_Score,0.3426598127693717
food_delivery_time,regression,xgboost,raw-only,45451,9,34.0,9.0,0.0,100.0,RMSE,7.9783980722668595,R2_Score,0.2631740066266025
food_delivery_time,regression,catboost,combined,45451,9,34.0,43.0,92.80787894815974,7.192121051840252,RMSE,7.303375450343187,R2_Score,0.3825798616268534
