dataset,strategy,rank,improvability,norm_score
customer_satisfaction_in_airline,baseline_xgboost,10.0,37.5,0.0
diabetes,baseline_xgboost,1.0,0.0,1.0
diabetes,baseline_tabpfn,2.0,2.7,0.747
diabetes,baseline_lightgbm,3.0,4.1,0.617
diabetes,combined_lightgbm,4.0,4.1,0.617
diabetes,baseline_catboost,5.0,7.4,0.279
diabetes,combined_xgboost,6.0,12.4,0.0
diabetes,combined_catboost,7.0,17.6,0.0
diabetes,embed-only_catboost,8.0,22.9,0.0
diabetes,embed-only_lightgbm,9.0,25.2,0.0
diabetes,embed-only_xgboost,10.0,26.8,0.0
diabetes130us,baseline_catboost,1.0,0.0,1.0
diabetes130us,combined_catboost,2.0,0.1,0.971
diabetes130us,baseline_tabpfn,3.0,0.4,0.912
diabetes130us,combined_lightgbm,4.0,2.4,0.492
diabetes130us,baseline_lightgbm,5.0,4.6,0.002
diabetes130us,embed-only_xgboost,6.0,4.6,0.0
diabetes130us,embed-only_lightgbm,7.0,5.0,0.0
diabetes130us,embed-only_catboost,8.0,6.5,0.0
diabetes130us,combined_xgboost,9.0,12.0,0.0
diabetes130us,baseline_xgboost,10.0,14.8,0.0
diamonds,combined_xgboost,1.0,0.0,1.0
diamonds,combined_catboost,2.0,0.1,0.681
diamonds,embed-only_xgboost,3.0,0.2,0.556
diamonds,combined_lightgbm,4.0,0.3,0.26
diamonds,baseline_tabpfn,5.0,0.4,0.046
diamonds,embed-only_catboost,6.0,0.4,0.0
diamonds,embed-only_lightgbm,7.0,1.7,0.0
diamonds,baseline_catboost,8.0,5.9,0.0
diamonds,baseline_lightgbm,9.0,6.1,0.0
diamonds,baseline_xgboost,10.0,7.9,0.0
e-commereshippingdata,combined_lightgbm,1.0,0.0,1.0
e-commereshippingdata,embed-only_lightgbm,2.0,1.9,0.532
e-commereshippingdata,embed-only_xgboost,3.0,2.5,0.373
e-commereshippingdata,baseline_lightgbm,4.0,2.6,0.354
e-commereshippingdata,combined_xgboost,5.0,3.6,0.086
e-commereshippingdata,baseline_tabpfn,6.0,4.2,0.0
e-commereshippingdata,baseline_xgboost,7.0,4.5,0.0
e-commereshippingdata,combined_catboost,8.0,5.1,0.0
e-commereshippingdata,baseline_catboost,9.0,5.5,0.0
e-commereshippingdata,embed-only_catboost,10.0,6.4,0.0
fitness_club,baseline_tabpfn,1.0,0.0,1.0
fitness_club,baseline_lightgbm,2.0,5.2,0.395
fitness_club,baseline_catboost,3.0,6.9,0.179
fitness_club,baseline_xgboost,4.0,7.5,0.102
fitness_club,combined_lightgbm,5.0,8.1,0.028
fitness_club,embed-only_catboost,6.0,8.6,0.0
fitness_club,combined_catboost,7.0,8.6,0.0
fitness_club,embed-only_xgboost,8.0,11.0,0.0
fitness_club,embed-only_lightgbm,9.0,11.3,0.0
fitness_club,combined_xgboost,10.0,12.4,0.0
food_delivery_time,embed-only_catboost,1.0,0.0,1.0
food_delivery_time,combined_lightgbm,2.0,0.1,0.883
food_delivery_time,embed-only_xgboost,3.0,0.1,0.87
food_delivery_time,embed-only_lightgbm,4.0,0.1,0.845
food_delivery_time,combined_catboost,5.0,0.1,0.788
food_delivery_time,baseline_catboost,6.0,1.0,0.0
food_delivery_time,combined_xgboost,7.0,1.2,0.0
food_delivery_time,baseline_tabpfn,8.0,1.5,0.0
food_delivery_time,baseline_lightgbm,9.0,3.2,0.0
food_delivery_time,baseline_xgboost,10.0,8.6,0.0
givemesomecredit,baseline_tabpfn,1.0,0.0,1.0
givemesomecredit,combined_lightgbm,2.0,0.9,0.457
givemesomecredit,combined_xgboost,3.0,1.0,0.444
givemesomecredit,combined_catboost,4.0,1.0,0.414
givemesomecredit,baseline_catboost,5.0,1.7,0.026
givemesomecredit,baseline_lightgbm,6.0,1.8,0.0
givemesomecredit,embed-only_lightgbm,7.0,2.1,0.0
givemesomecredit,baseline_xgboost,8.0,2.1,0.0
givemesomecredit,embed-only_catboost,9.0,2.2,0.0
givemesomecredit,embed-only_xgboost,10.0,2.2,0.0
hazelnut-spread-contaminant-detection,baseline_tabpfn,1.0,0.0,1.0
hazelnut-spread-contaminant-detection,embed-only_lightgbm,2.0,66.2,0.168
hazelnut-spread-contaminant-detection,combined_lightgbm,3.0,66.3,0.165
hazelnut-spread-contaminant-detection,embed-only_catboost,4.0,68.7,0.066
hazelnut-spread-contaminant-detection,combined_xgboost,5.0,69.9,0.013
hazelnut-spread-contaminant-detection,embed-only_xgboost,6.0,70.4,0.0
hazelnut-spread-contaminant-detection,combined_catboost,7.0,74.8,0.0
hazelnut-spread-contaminant-detection,baseline_lightgbm,8.0,78.1,0.0
hazelnut-spread-contaminant-detection,baseline_xgboost,9.0,82.0,0.0
hazelnut-spread-contaminant-detection,baseline_catboost,10.0,83.7,0.0
healthcare_insurance_expenses,baseline_tabpfn,1.0,0.0,1.0
healthcare_insurance_expenses,embed-only_catboost,2.0,1.4,0.259
healthcare_insurance_expenses,combined_lightgbm,3.0,1.4,0.255
healthcare_insurance_expenses,embed-only_xgboost,4.0,1.5,0.208
healthcare_insurance_expenses,combined_xgboost,5.0,1.6,0.179
healthcare_insurance_expenses,embed-only_lightgbm,6.0,2.2,0.0
healthcare_insurance_expenses,combined_catboost,7.0,2.3,0.0
healthcare_insurance_expenses,baseline_xgboost,8.0,4.2,0.0
healthcare_insurance_expenses,baseline_catboost,9.0,4.6,0.0
healthcare_insurance_expenses,baseline_lightgbm,10.0,6.9,0.0
heloc,baseline_tabpfn,1.0,0.0,1.0
heloc,combined_lightgbm,2.0,0.6,0.837
heloc,combined_xgboost,3.0,2.1,0.386
heloc,baseline_lightgbm,4.0,2.2,0.362
heloc,combined_catboost,5.0,2.8,0.183
heloc,baseline_catboost,6.0,4.0,0.0
heloc,baseline_xgboost,7.0,4.3,0.0
heloc,embed-only_catboost,8.0,10.9,0.0
heloc,embed-only_xgboost,9.0,11.2,0.0
heloc,embed-only_lightgbm,10.0,11.3,0.0
hiva_agnostic,combined_lightgbm,1.0,0.0,1.0
hiva_agnostic,embed-only_xgboost,2.0,0.1,0.884
hiva_agnostic,embed-only_lightgbm,3.0,0.2,0.864
hiva_agnostic,embed-only_catboost,4.0,0.2,0.825
hiva_agnostic,baseline_lightgbm,5.0,0.9,0.217
hiva_agnostic,combined_xgboost,6.0,1.4,0.0
hiva_agnostic,baseline_tabpfn,7.0,4.4,0.0
hiva_agnostic,combined_catboost,8.0,4.6,0.0
hiva_agnostic,baseline_catboost,9.0,4.7,0.0
hiva_agnostic,baseline_xgboost,10.0,4.8,0.0
houses,baseline_tabpfn,1.0,0.0,1.0
houses,embed-only_lightgbm,2.0,0.4,0.537
houses,embed-only_catboost,3.0,0.4,0.474
houses,combined_lightgbm,4.0,0.5,0.396
houses,combined_catboost,5.0,0.6,0.231
houses,embed-only_xgboost,6.0,0.9,0.0
houses,combined_xgboost,7.0,1.0,0.0
houses,baseline_lightgbm,8.0,11.8,0.0
houses,baseline_catboost,9.0,13.8,0.0
houses,baseline_xgboost,10.0,14.6,0.0
hr_analytics_job_change_of_data_scientists,baseline_tabpfn,1.0,0.0,1.0
hr_analytics_job_change_of_data_scientists,baseline_catboost,2.0,2.1,0.445
hr_analytics_job_change_of_data_scientists,embed-only_lightgbm,3.0,2.2,0.436
hr_analytics_job_change_of_data_scientists,embed-only_catboost,4.0,2.3,0.395
hr_analytics_job_change_of_data_scientists,baseline_lightgbm,5.0,3.6,0.055
hr_analytics_job_change_of_data_scientists,combined_lightgbm,6.0,4.0,0.0
hr_analytics_job_change_of_data_scientists,embed-only_xgboost,7.0,4.1,0.0
