dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,tabpfn_primary_score,eval_primary_delta_pct
another-dataset-on-used-fiat-500,regression,xgboost,combined,1538,7,54,61,76.09043626952754,23.90956373047245,RMSE,757.0791377173452,727.5813856404222,4.05422027818357
apsfailure,binary,catboost,combined,76000,170,41,211,51.35637572083776,48.64362427916223,1-AUROC,0.0031368966042332,0.0044608497030608,-29.679392648426788
apsfailure,binary,lightgbm,combined,76000,170,41,211,32.33142624697844,67.66857375302146,1-AUROC,0.0049800517740216,0.0044608497030608,11.639084603198752
apsfailure,binary,xgboost,combined,76000,170,41,211,57.00938472205692,42.9906152779431,1-AUROC,0.0051339119841632,0.0044608497030608,15.08820798514234
bank-marketing,binary,catboost,combined,45211,13,28,41,65.74676570166311,34.253234298336906,1-AUROC,0.2255434042800004,0.2231820533064714,1.058038018086687
bank-marketing,binary,lightgbm,combined,45211,13,28,41,52.77610930707545,47.22389069292453,1-AUROC,0.2238212480158331,0.2231820533064714,0.28640058637867
bank-marketing,binary,xgboost,combined,45211,13,28,41,60.38246095257712,39.617539047422845,1-AUROC,0.2260774869704893,0.2231820533064714,1.2973416191497789
bank_customer_churn,binary,catboost,combined,10000,10,20,30,66.41512761294038,33.584872387059605,1-AUROC,0.1232711910678011,0.1225925463213597,0.5535774945586329
bank_customer_churn,binary,lightgbm,combined,10000,10,20,30,67.14973193433687,32.85026806566314,1-AUROC,0.1234686149940387,0.1225925463213597,0.7146182202484647
bank_customer_churn,binary,xgboost,combined,10000,10,20,30,65.26005534648137,34.73994465351865,1-AUROC,0.1268865167170253,0.1225925463213597,3.502635783752733
bioresponse,binary,catboost,combined,3751,1776,54,1830,32.89665318031446,67.10334681968526,1-AUROC,0.1304639734872292,0.1283998057253872,1.6076097235355178
bioresponse,binary,lightgbm,combined,3751,1776,54,1830,16.748017537378054,83.25198246262202,1-AUROC,0.1281283926632763,0.1283998057253872,-0.2113812093231277
bioresponse,binary,xgboost,combined,3751,1776,54,1830,39.37491790129832,60.62508209870168,1-AUROC,0.1290211987886406,0.1283998057253872,0.4839517160815381
blood-transfusion-service-center,binary,catboost,combined,748,4,22,26,78.28523296425905,21.714767035740973,1-AUROC,0.231115984405458,0.2147904483430799,7.600680657969328
blood-transfusion-service-center,binary,lightgbm,combined,748,4,22,26,66.99812134054518,33.00187865945481,1-AUROC,0.2246588693957114,0.2147904483430799,4.594441293250117
blood-transfusion-service-center,binary,xgboost,combined,748,4,22,26,66.48821009854467,33.51178990145533,1-AUROC,0.2192982456140351,0.2147904483430799,2.098695405558715
churn,binary,catboost,combined,5000,19,20,39,79.38001346898979,20.619986531010216,1-AUROC,0.0702119403231532,0.0859567863010757,-18.317164537508344
churn,binary,lightgbm,combined,5000,19,20,39,84.42989193076033,15.570108069239652,1-AUROC,0.0760326620926526,0.0859567863010757,-11.5454807415233
churn,binary,xgboost,combined,5000,19,20,39,90.51116623360164,9.488833766398368,1-AUROC,0.0817130260322491,0.0859567863010757,-4.9370857746614565
coil2000_insurance_policies,binary,catboost,combined,9822,85,57,142,59.944406007598445,40.0555939924016,1-AUROC,0.2348808598808598,0.2276288526288526,3.18589105390409
